import time: self [us] | cumulative | imported package
import time:       904 |        904 |                       django.core.files.storage.mixins
import time:      1933 |       2837 |                     django.core.files.storage.filesystem
import time:       936 |        936 |                     django.core.files.storage.handler
import time:      1602 |       1602 |                     django.core.files.storage.memory
import time:      4314 |      11066 |                   django.core.files.storage
import time:      8427 |      21709 |                 django.db.models.fields.files
import time:      1635 |       1635 |                 django.db.models.fields.generated
import time:      1044 |       1044 |                 django.db.models.fields.proxy
import time:      2740 |       2740 |                   django.db.models.query
import time:      2801 |       5541 |                 django.db.models.manager
import time:      4605 |       4605 |                     django.db.models.fields.related_descriptors
import time:      1868 |       1868 |                     django.db.models.fields.related_lookups
import time:      1911 |       1911 |                     django.db.models.fields.reverse_related
import time:      6026 |      14410 |                   django.db.models.fields.related
import time:      2929 |       2929 |                   django.db.models.options
import time:      4879 |      22216 |                 django.db.models.base
import time:     24145 |     887372 |               django.db.models
import time:      4122 |     891493 |             django.core.serializers.base
import time:     15993 |     907486 |           django.core.serializers
import time:      1585 |       1585 |           django.core.serializers.python
import time:      4234 |     913304 |         django.core.serializers.json
import time:      7756 |    1075239 |       django.http.response
import time:      3510 |    1268550 |     django.http
import time:      1299 |       1299 |     django.urls.exceptions
import time:      1813 |       1813 |       django.urls.converters
import time:      3376 |       3376 |       django.urls.utils
import time:      4199 |       9388 |     django.urls.resolvers
import time:     14847 |    1313175 |   django.urls.base
import time:      1517 |       1517 |   django.urls.conf
import time:      2423 |    1317114 | django.urls
import time:      5648 |       5648 |     logging.handlers
import time:      2478 |       2478 |     socketserver
import time:      4698 |      12824 |   logging.config
import time:      4225 |       4225 |       email.generator
import time:     13956 |      13956 |         email._header_value_parser
import time:      6318 |      20274 |       email.headerregistry
import time:      2003 |       2003 |         email.mime
import time:      1117 |       1117 |           email.contentmanager
import time:      2038 |       3155 |         email.policy
import time:      3125 |       8282 |       email.mime.base
import time:      1067 |       1067 |         email.mime.nonmultipart
import time:      2338 |       3405 |       email.mime.message
import time:      1960 |       1960 |       email.mime.multipart
import time:      1940 |       1940 |       email.mime.text
import time:      1296 |       1296 |       django.core.mail.utils
import time:      8805 |      50183 |     django.core.mail.message
import time:      2535 |      52718 |   django.core.mail
import time:      2676 |      68217 | django.utils.log
import time:      1106 |       1106 |       django.template.response
import time:       990 |        990 |       django.utils.decorators
import time:      2793 |       4888 |     django.views.generic.base
import time:      1320 |       1320 |       django.views.generic.detail
import time:      3465 |       3465 |         django.core.paginator
import time:      4823 |       8288 |       django.views.generic.list
import time:      3285 |      12892 |     django.views.generic.dates
import time:      2044 |       2044 |     django.views.generic.edit
import time:      3347 |      23169 |   django.views.generic
import time:       661 |      23830 | django.views.generic.base
import time:      1572 |       1572 |   pprint
import time:      2070 |       2070 |   django.utils.timesince
import time:      3125 |       6766 | django.template.defaultfilters
import time:      1799 |       1799 |   django.views.decorators
import time:      1897 |       3696 | django.views.decorators.debug
import time:      1148 |       1148 |   django.utils.lorem_ipsum
import time:      1538 |       1538 |   django.template.smartif
